index,팀,이름,생일,루타,볼넷,사구,안타,타수,타점,홈런,희비,타율,출루율,장타율,OPS
31,키움,박병호,1986-07-10,265,85,14,133,475,107,36,9,0.28,0.3979416809605489,0.5578947368421052,0.9558364178026542
32,키움,샌즈,1987-09-28,296,86,6,170,568,119,28,5,0.2992957746478873,0.39398496240601505,0.5211267605633803,0.9151117229693952
28,삼성,러프,1986-07-28,243,80,7,138,472,101,22,9,0.2923728813559322,0.3961267605633803,0.5148305084745762,0.9109572690379566
3,KT,로하스,1990-05-24,276,49,3,168,521,104,24,5,0.32245681381957775,0.3806228373702422,0.5297504798464492,0.9103733172166915
15,SK,최정,1987-02-28,261,71,26,147,511,99,29,8,0.2876712328767123,0.3961038961038961,0.5107632093933464,0.9068671054972426
1,KIA,최형우,1983-12-16,221,85,7,137,456,86,17,7,0.30043859649122806,0.4126126126126126,0.48464912280701755,0.8972617354196302
21,두산,페르난데스,1988-04-27,277,63,6,197,581,90,15,6,0.33907056798623064,0.4054878048780488,0.47676419965576594,0.8822520045338147
13,SK,로맥,1985-09-30,263,73,6,142,515,96,30,6,0.2757281553398058,0.36833333333333335,0.5106796116504855,0.8790129449838189
30,키움,김하성,1995-10-17,283,76,7,177,587,109,20,7,0.30153321976149916,0.38404726735598227,0.48211243611584326,0.8661597034718256
19,두산,오재일,1986-10-29,236,56,3,140,480,106,21,4,0.2916666666666667,0.3664825046040516,0.49166666666666664,0.8581491712707182
17,두산,박건우,1990-09-08,219,60,7,149,475,67,11,11,0.3136842105263158,0.39059674502712477,0.4610526315789474,0.8516493766060722
34,키움,이정후,1998-08-20,283,48,5,212,620,76,6,6,0.3419354838709677,0.390279823269514,0.45645161290322583,0.8467314361727398
25,롯데,전준우,1986-02-25,262,46,7,164,545,83,22,7,0.30091743119266057,0.3586776859504132,0.48073394495412847,0.8394116309045416
10,NC,박민우,1993-02-06,203,42,9,161,471,45,1,6,0.34182590233545646,0.4015151515151515,0.4309978768577495,0.832513028372901
4,KT,유한준,1981-07-01,222,52,4,159,501,86,14,5,0.31736526946107785,0.38256227758007116,0.4431137724550898,0.825676050035161
5,KT,황재균,1987-07-28,209,52,2,127,448,67,20,5,0.28348214285714285,0.35700197238658776,0.46651785714285715,0.8235198295294449
37,한화,호잉,1989-05-18,219,38,5,135,476,73,18,5,0.28361344537815125,0.33969465648854963,0.46008403361344535,0.799778690101995
9,LG,채은성,1990-02-06,213,27,12,154,488,73,13,8,0.3155737704918033,0.36074766355140186,0.4364754098360656,0.7972230733874675
6,LG,김현수,1988-01-12,234,55,6,164,547,84,11,9,0.29981718464351004,0.3646677471636953,0.42778793418647165,0.792455681350167
24,롯데,이대호,1982-06-21,211,47,10,138,485,88,16,7,0.2845360824742268,0.3551912568306011,0.4350515463917526,0.7902428032223536
16,두산,김재환,1988-09-22,217,66,5,142,507,91,15,11,0.28007889546351084,0.3616298811544992,0.4280078895463511,0.7896377707008503
26,삼성,구자욱,1993-02-12,211,38,7,127,475,71,15,6,0.2673684210526316,0.3269961977186312,0.4442105263157895,0.7712067240344207
23,롯데,손아섭,1988-03-18,205,52,1,151,512,63,10,2,0.294921875,0.35978835978835977,0.400390625,0.7601789847883598
12,SK,고종욱,1989-01-11,207,19,1,159,501,56,3,2,0.31736526946107785,0.3422562141491396,0.41317365269461076,0.7554298668437504
8,LG,이천웅,1988-10-20,211,60,5,175,566,50,2,1,0.30918727915194344,0.379746835443038,0.37279151943462896,0.752538354877667
33,키움,서건창,1989-08-22,180,54,3,142,475,46,2,5,0.29894736842105263,0.37057728119180633,0.37894736842105264,0.7495246496128589
18,두산,박세혁,1990-01-09,180,44,7,128,453,66,4,5,0.282560706401766,0.3516699410609037,0.3973509933774834,0.7490209344383871
22,두산,허경민,1990-08-26,182,34,18,142,487,62,4,10,0.2915811088295688,0.3533697632058288,0.3737166324435318,0.7270863956493606
7,LG,오지환,1990-03-12,180,58,7,120,477,55,9,5,0.25157232704402516,0.3382084095063985,0.37735849056603776,0.7155669000724363
27,삼성,김상수,1990-03-23,166,50,15,127,468,38,5,4,0.27136752136752135,0.3575418994413408,0.3547008547008547,0.7122427541421955
11,NC,이명기,1987-12-26,172,48,4,143,488,36,2,4,0.2930327868852459,0.3584558823529412,0.3524590163934426,0.7109148987463838
14,SK,이재원,1988-02-24,177,34,9,122,461,75,12,7,0.2646420824295011,0.32289628180039137,0.3839479392624729,0.7068442210628643
36,한화,정은원,2000-01-17,211,48,0,148,564,57,8,6,0.2624113475177305,0.31715210355987056,0.374113475177305,0.6912655787371755
20,두산,정수빈,1990-10-07,151,61,6,122,456,41,0,5,0.2675438596491228,0.35795454545454547,0.33114035087719296,0.6890948963317385
35,한화,송광민,1983-06-24,162,21,3,120,454,51,7,5,0.2643171806167401,0.2981366459627329,0.3568281938325991,0.654964839795332
2,KT,김민혁,1995-11-21,143,32,13,131,466,32,0,5,0.2811158798283262,0.34108527131782945,0.30686695278969955,0.6479522241075291
29,삼성,박해민,1990-02-24,166,58,2,121,506,44,5,3,0.2391304347826087,0.3181019332161687,0.32806324110671936,0.646165174322888
0,KIA,박찬호,1995-06-05,160,26,4,131,504,49,2,2,0.25992063492063494,0.3003731343283582,0.31746031746031744,0.6178334517886757
